Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD/dt_min dI/dt_min dH/dt_nT dX/dt_nT dY/dt_nT dZ/dt_nT dF/dt_nT
2019.5 E K100 70.3 30.8    15d 22m    79d  5m    9883.7   9530.5   2618.9  51239.1  52183.7    16.4       1.7        -18.0    -29.9     40.7     46.5     42.3
2018 E K100 70.3 30.8    14d 57m    79d  2m    9911.0   9575.3   2557.8  51169.3  52120.3    16.3       1.8        -18.4    -29.9     40.7     46.5     42.2
2017.5 M K470 70.3 30.8    11d 54m    78d 57m    8579.0   8394.7   1768.4  43913.0  44743.2    15.8       1.8        -17.4    -25.1     34.9     36.0     32.0
2016.5 E M1042 70.3 30.8    15d 14m    79d  7m   10244.7   9884.7   2692.0  53299.9  54275.6    15.7       1.6        -17.2    -28.8     40.6     46.3     42.2
2015.5 E F30000 70.3 30.8    15d  3m    79d  3m   10256.9   9905.0   2663.6  53038.6  54021.2    13.6       1.2        -12.1    -22.2     35.9     37.8     34.8
2018.7 E F30000 -70.3 -30.8     0d -50m   -60d 17m   18890.0  18888.0   -275.9 -33098.6  38109.7    -1.6       0.9        -27.2    -27.3     -8.3     68.2    -72.8
2018.7 E F30000 -70 -30    -1d 24m   -60d 10m   18808.5  18802.8   -461.8 -32807.3  37816.4    -1.5       0.9        -27.1    -27.3     -7.5     67.8    -72.3
2018.7 E F30000 43 -30   -10d 15m    58d 48m   23722.8  23344.7  -4218.5  39172.6  45795.9    11.1      -3.6         33.0     46.1     69.6    -38.7    -16.0
2018 E F30000 43 -54   -16d 55m    63d 19m   21904.7  20956.5  -6375.2  43570.4  48766.8    10.0      -5.5         41.6     58.4     49.1    -92.4    -63.9
2018 E K1.3 48.123 16.123     4d 14m    64d 30m   20938.9  20882.0   1543.0  43889.3  48628.2     9.0       1.5         -1.4     -5.5     54.5     45.9     40.8
2019 E K1.3 48.123 16.123     4d 23m    64d 31m   20937.6  20876.5   1597.6  43935.1  48669.0     9.0       1.5         -1.3     -5.5     54.5     45.9     40.8
2019.8849 E K1.3 48.123 16.123     4d 31m    64d 32m   20936.5  20871.7   1645.8  43975.7  48705.2     9.0       1.5         -1.2     -5.5     54.5     45.9     40.9
