Penumbra start UTC,Umbra start UTC,Umbra end UTC,Penumbra end UTC,Umbra duration [m],Penumbra duration [m]
2019-04-09T10:29:54Z,2019-04-09T10:30:04Z,2019-04-09T10:44:14Z,2019-04-09T10:44:24Z,14.1667,14.5,
2019-04-09T12:07:34Z,2019-04-09T12:07:44Z,2019-04-09T12:21:54Z,2019-04-09T12:22:04Z,14.1667,14.5,
2019-04-09T13:45:14Z,2019-04-09T13:45:24Z,2019-04-09T13:59:44Z,2019-04-09T13:59:54Z,14.3333,14.6667,
2019-04-09T15:22:54Z,2019-04-09T15:23:04Z,2019-04-09T15:37:24Z,2019-04-09T15:37:34Z,14.3333,14.6667,
2019-04-09T17:00:44Z,2019-04-09T17:00:54Z,2019-04-09T17:15:14Z,2019-04-09T17:15:24Z,14.3333,14.6667,
2019-04-09T18:38:24Z,2019-04-09T18:38:34Z,2019-04-09T18:52:54Z,2019-04-09T18:53:04Z,14.3333,14.6667,
2019-04-09T20:16:04Z,2019-04-09T20:16:14Z,2019-04-09T20:30:34Z,2019-04-09T20:30:44Z,14.3333,14.6667,
2019-04-09T21:53:54Z,2019-04-09T21:54:04Z,2019-04-09T22:08:24Z,2019-04-09T22:08:34Z,14.3333,14.6667,
2019-04-09T23:31:34Z,2019-04-09T23:31:44Z,2019-04-09T23:46:04Z,2019-04-09T23:46:14Z,14.3333,14.6667,
2019-04-10T01:09:14Z,2019-04-10T01:09:24Z,2019-04-10T01:23:54Z,2019-04-10T01:24:04Z,14.5,14.8333,
2019-04-10T02:47:04Z,2019-04-10T02:47:14Z,2019-04-10T03:01:34Z,2019-04-10T03:01:44Z,14.3333,14.6667,
2019-04-10T04:24:44Z,2019-04-10T04:24:54Z,2019-04-10T04:39:14Z,2019-04-10T04:39:24Z,14.3333,14.6667,
2019-04-10T06:02:24Z,2019-04-10T06:02:34Z,2019-04-10T06:17:04Z,2019-04-10T06:17:14Z,14.5,14.8333,
2019-04-10T07:40:04Z,2019-04-10T07:40:14Z,2019-04-10T07:54:44Z,2019-04-10T07:54:54Z,14.5,14.8333,
2019-04-10T09:17:54Z,2019-04-10T09:18:04Z,2019-04-10T09:32:34Z,2019-04-10T09:32:44Z,14.5,14.8333,
2019-04-10T10:55:34Z,2019-04-10T10:55:44Z,2019-04-10T11:10:14Z,2019-04-10T11:10:24Z,14.5,14.8333,
2019-04-10T12:33:14Z,2019-04-10T12:33:24Z,2019-04-10T12:47:54Z,2019-04-10T12:48:04Z,14.5,14.8333,
2019-04-10T14:11:04Z,2019-04-10T14:11:14Z,2019-04-10T14:25:44Z,2019-04-10T14:25:54Z,14.5,14.8333,
2019-04-10T15:48:44Z,2019-04-10T15:48:54Z,2019-04-10T16:03:24Z,2019-04-10T16:03:34Z,14.5,14.8333,
2019-04-10T17:26:24Z,2019-04-10T17:26:34Z,2019-04-10T17:41:14Z,2019-04-10T17:41:24Z,14.6667,15,
2019-04-10T19:04:14Z,2019-04-10T19:04:24Z,2019-04-10T19:18:54Z,2019-04-10T19:19:04Z,14.5,14.8333,
2019-04-10T20:41:54Z,2019-04-10T20:42:04Z,2019-04-10T20:56:44Z,2019-04-10T20:56:54Z,14.6667,15,
2019-04-10T22:19:34Z,2019-04-10T22:19:44Z,2019-04-10T22:34:24Z,2019-04-10T22:34:34Z,14.6667,15,
2019-04-10T23:57:14Z,2019-04-10T23:57:24Z,2019-04-11T00:12:04Z,2019-04-11T00:12:14Z,14.6667,15,
2019-04-11T01:35:04Z,2019-04-11T01:35:14Z,2019-04-11T01:49:54Z,2019-04-11T01:50:04Z,14.6667,15,
2019-04-11T03:12:44Z,2019-04-11T03:12:54Z,2019-04-11T03:27:34Z,2019-04-11T03:27:44Z,14.6667,15,
2019-04-11T04:50:24Z,2019-04-11T04:50:34Z,2019-04-11T05:05:24Z,2019-04-11T05:05:34Z,14.8333,15.1667,
2019-04-11T06:28:14Z,2019-04-11T06:28:24Z,2019-04-11T06:43:04Z,2019-04-11T06:43:14Z,14.6667,15,
2019-04-11T08:05:54Z,2019-04-11T08:06:04Z,2019-04-11T08:20:44Z,2019-04-11T08:20:54Z,14.6667,15,
2019-04-11T09:43:34Z,2019-04-11T09:43:44Z,2019-04-11T09:58:34Z,2019-04-11T09:58:44Z,14.8333,15.1667,
2019-04-11T11:21:24Z,2019-04-11T11:21:34Z,2019-04-11T11:36:14Z,2019-04-11T11:36:24Z,14.6667,15,
2019-04-11T12:59:04Z,2019-04-11T12:59:14Z,2019-04-11T13:14:04Z,2019-04-11T13:14:14Z,14.8333,15.1667,
2019-04-11T14:36:44Z,2019-04-11T14:36:54Z,2019-04-11T14:51:44Z,2019-04-11T14:51:54Z,14.8333,15.1667,
2019-04-11T16:14:24Z,2019-04-11T16:14:34Z,2019-04-11T16:29:24Z,2019-04-11T16:29:44Z,14.8333,15.3333,
2019-04-11T17:52:14Z,2019-04-11T17:52:24Z,2019-04-11T18:07:14Z,2019-04-11T18:07:24Z,14.8333,15.1667,
2019-04-11T19:29:54Z,2019-04-11T19:30:04Z,2019-04-11T19:44:54Z,2019-04-11T19:45:04Z,14.8333,15.1667,
2019-04-11T21:07:34Z,2019-04-11T21:07:44Z,2019-04-11T21:22:44Z,2019-04-11T21:22:54Z,15,15.3333,
2019-04-11T22:45:24Z,2019-04-11T22:45:34Z,2019-04-11T23:00:24Z,2019-04-11T23:00:34Z,14.8333,15.1667,
2019-04-12T00:23:04Z,2019-04-12T00:23:14Z,2019-04-12T00:38:14Z,2019-04-12T00:38:24Z,15,15.3333,
2019-04-12T02:00:44Z,2019-04-12T02:00:54Z,2019-04-12T02:15:54Z,2019-04-12T02:16:04Z,15,15.3333,
2019-04-12T03:38:34Z,2019-04-12T03:38:44Z,2019-04-12T03:53:34Z,2019-04-12T03:53:44Z,14.8333,15.1667,
2019-04-12T05:16:14Z,2019-04-12T05:16:24Z,2019-04-12T05:31:24Z,2019-04-12T05:31:34Z,15,15.3333,
2019-04-12T06:53:54Z,2019-04-12T06:54:04Z,2019-04-12T07:09:04Z,2019-04-12T07:09:14Z,15,15.3333,
2019-04-12T08:31:34Z,2019-04-12T08:31:44Z,2019-04-12T08:46:54Z,2019-04-12T08:47:04Z,15.1667,15.5,
