GS,AOS UTC,LOS UTC,AOS [GPS secs],Duration [m],Epoch UTC Max. El.,Max Elevation [deg],Az. AOS [deg],Az. LOS [deg],Az. Max El. [deg], lon [deg],lat [deg]
WHM,2019-04-09T18:28:54Z,2019-04-09T18:40:14Z,1238869753.000000,11.333333,2019-04-09T18:34:24Z,14.763957,34.903192,151.928990,95.118875,11.140000,47.840000,
WHM,2019-04-09T20:04:44Z,2019-04-09T20:18:04Z,1238875503.000000,13.333333,2019-04-09T20:11:14Z,68.582350,13.223791,204.640853,273.105270,11.140000,47.840000,
WHM,2019-04-09T21:42:14Z,2019-04-09T21:51:54Z,1238881353.000000,9.666667,2019-04-09T21:47:04Z,9.972654,354.263157,257.314270,303.054134,11.140000,47.840000,
WHM,2019-04-10T04:00:14Z,2019-04-10T04:02:54Z,1238904033.000000,2.666667,2019-04-10T04:01:34Z,0.644573,54.157072,27.100706,40.501531,11.140000,47.840000,
WHM,2019-04-10T05:31:14Z,2019-04-10T05:41:54Z,1238909493.000000,10.666667,2019-04-10T05:36:44Z,22.249426,129.224051,355.625997,56.184493,11.140000,47.840000,
WHM,2019-04-10T07:07:24Z,2019-04-10T07:18:34Z,1238915263.000000,11.166667,2019-04-10T07:13:04Z,30.587537,186.291291,335.689459,267.779757,11.140000,47.840000,
WHM,2019-04-10T18:53:44Z,2019-04-10T19:06:24Z,1238957643.000000,12.666667,2019-04-10T18:59:54Z,24.931916,27.908918,166.786233,101.345548,11.140000,47.840000,
WHM,2019-04-10T20:30:04Z,2019-04-10T20:43:04Z,1238963423.000000,13.000000,2019-04-10T20:36:24Z,40.352224,8.915759,217.234042,287.638882,11.140000,47.840000,
WHM,2019-04-10T22:07:54Z,2019-04-10T22:15:54Z,1238969293.000000,8.000000,2019-04-10T22:11:54Z,5.604665,348.645690,272.331010,308.888515,11.140000,47.840000,
WHM,2019-04-11T04:23:04Z,2019-04-11T04:29:34Z,1238991803.000000,6.500000,2019-04-11T04:26:24Z,3.904443,80.563629,12.256276,44.604752,11.140000,47.840000,
WHM,2019-04-11T05:56:04Z,2019-04-11T06:07:24Z,1238997383.000000,11.333333,2019-04-11T06:01:44Z,38.578872,143.462135,350.596132,59.533499,11.140000,47.840000,
WHM,2019-04-11T07:33:14Z,2019-04-11T07:43:34Z,1239003213.000000,10.333333,2019-04-11T07:38:24Z,17.142865,202.172126,329.378752,268.273605,11.140000,47.840000,
WHM,2019-04-11T17:44:24Z,2019-04-11T17:51:14Z,1239039883.000000,6.833333,2019-04-11T17:47:54Z,3.356372,54.039770,115.980438,86.646300,11.140000,47.840000,
WHM,2019-04-11T19:18:44Z,2019-04-11T19:32:04Z,1239045543.000000,13.333333,2019-04-11T19:25:14Z,41.981406,22.223374,179.947205,106.978449,11.140000,47.840000,
WHM,2019-04-11T20:55:34Z,2019-04-11T21:07:54Z,1239051353.000000,12.333333,2019-04-11T21:01:34Z,25.333358,4.286120,229.779084,292.635958,11.140000,47.840000,
WHM,2019-04-11T22:33:54Z,2019-04-11T22:39:14Z,1239057253.000000,5.333333,2019-04-11T22:36:44Z,2.221635,340.572317,291.475911,313.884089,11.140000,47.840000,
WHM,2019-04-12T04:46:54Z,2019-04-12T04:55:24Z,1239079633.000000,8.500000,2019-04-12T04:51:14Z,8.147826,98.754570,5.109242,49.159895,11.140000,47.840000,
WHM,2019-04-12T06:21:04Z,2019-04-12T06:32:44Z,1239085283.000000,11.666667,2019-04-12T06:26:54Z,73.901937,157.784198,345.932711,41.436426,11.140000,47.840000,
WHM,2019-04-12T07:59:24Z,2019-04-12T08:08:24Z,1239091183.000000,9.000000,2019-04-12T08:03:54Z,9.211132,219.555822,321.819312,272.224686,11.140000,47.840000,
MGS,2019-04-09T10:54:14Z,2019-04-09T11:06:44Z,1238842473.000000,12.500000,2019-04-09T11:00:44Z,14.721320,299.746947,184.432625,240.420988,-193.480000,-77.890000,
MGS,2019-04-09T12:33:54Z,2019-04-09T12:44:34Z,1238848453.000000,10.666667,2019-04-09T12:39:24Z,8.566042,263.391538,170.047318,215.835193,-193.480000,-77.890000,
MGS,2019-04-09T14:13:44Z,2019-04-09T14:23:04Z,1238854443.000000,9.333333,2019-04-09T14:18:34Z,5.814536,230.330393,150.600298,189.512551,-193.480000,-77.890000,
MGS,2019-04-09T15:53:04Z,2019-04-09T16:02:24Z,1238860403.000000,9.333333,2019-04-09T15:57:54Z,6.032662,203.947646,123.133119,162.497251,-193.480000,-77.890000,
MGS,2019-04-09T17:31:24Z,2019-04-09T17:42:04Z,1238866303.000000,10.666667,2019-04-09T17:36:54Z,9.272430,185.957928,89.280359,136.996752,-193.480000,-77.890000,
MGS,2019-04-09T19:09:04Z,2019-04-09T19:21:24Z,1238872163.000000,12.333333,2019-04-09T19:15:34Z,16.161960,172.395271,52.567661,110.346001,-193.480000,-77.890000,
