TG,Epoch UTC in,GPS time [s] in,Duration [s],El. in,El. out,Epoch UTC Max. El.,Max. El. [deg],Az. in [deg],Az. out [deg],Az. Max El. [deg],lon [deg],lat [deg],Orbital plane,Spacecraft
TG_0-1,2019-04-09 14:30:54,1.23886e+09,70,65.9768,63.2072,2019-04-09 14:31:34,76.8519,133.776,12.6795,54.3909,-90,-45,1,1
TG_0-1,2019-04-10 01:30:04,1.2389e+09,80,71.0365,59.8666,2019-04-10 01:30:34,75.6902,327.802,220.584,274.116,-90,-45,1,1
TG_0-1,2019-04-10 14:56:24,1.23894e+09,50,59.2552,54.5102,2019-04-10 14:56:44,60.3225,232.644,286.736,256.148,-90,-45,1,1
TG_0-2,2019-04-11 01:43:04,1.23898e+09,40,51.2969,54.2398,2019-04-11 01:43:44,54.2976,78.2324,108.878,108.878,-90,0,1,1
TG_0-2,2019-04-11 13:56:34,1.23903e+09,60,66.8168,59.7676,2019-04-11 13:57:04,75.9549,132.195,11.7058,57.7205,-90,0,1,1
TG_0-2,2019-04-12 02:08:24,1.23907e+09,70,69.1536,61.9101,2019-04-12 02:08:54,73.7411,324.161,226.3,273.556,-90,0,1,1
TG_0-3,2019-04-09 13:17:24,1.23885e+09,60,68.8956,60.6983,2019-04-09 13:17:54,82.2325,144.738,356.016,36.962,-90,45,1,1
TG_0-3,2019-04-10 02:42:24,1.2389e+09,70,72.5455,61.738,2019-04-10 02:42:54,82.3082,353.672,210.361,261.021,-90,45,1,1
TG_0-3,2019-04-10 13:42:54,1.23894e+09,40,47.9385,44.4502,2019-04-10 13:43:14,48.2967,248.783,286.07,268.55,-90,45,1,1
TG_1-1,2019-04-09 11:15:54,1.23884e+09,40,52.2397,51.5257,2019-04-09 11:16:24,53.3059,94.0909,58.3552,66.9764,-45,-45,1,1
TG_1-1,2019-04-09 22:14:34,1.23888e+09,80,66.5524,68.9974,2019-04-09 22:15:24,80.9617,38.9467,173.041,130.633,-45,-45,1,1
TG_1-1,2019-04-10 11:41:04,1.23893e+09,60,73.6017,66.4657,2019-04-10 11:41:34,85.0053,177.453,333.604,296.749,-45,-45,1,1
TG_1-1,2019-04-10 22:40:34,1.23897e+09,60,62.8716,51.9153,2019-04-10 22:40:44,62.8716,282.236,234.64,271.788,-45,-45,1,1
TG_1-1,2019-04-11 12:06:34,1.23902e+09,30,48.2676,46.4265,2019-04-11 12:06:44,48.2676,244.948,267.939,252.838,-45,-45,1,1
TG_1-2,2019-04-11 10:41:34,1.23901e+09,20,40.9936,41.3027,2019-04-11 10:41:54,41.4223,87.0832,71.8201,71.8201,-45,0,1,1
TG_1-2,2019-04-11 22:53:04,1.23906e+09,60,64.4598,67.817,2019-04-11 22:53:54,71.8967,56.6004,141.104,128.369,-45,0,1,1
TG_1-3,2019-04-09 10:02:14,1.23884e+09,50,50.6238,49.5999,2019-04-09 10:02:44,53.5811,96.1552,41.0673,62.1286,-45,45,1,1
TG_1-3,2019-04-09 23:26:54,1.23889e+09,70,58.2824,63.992,2019-04-09 23:27:44,69.9438,51.0864,146.168,118.788,-45,45,1,1
TG_1-3,2019-04-10 10:27:24,1.23893e+09,60,65.6028,59.2071,2019-04-10 10:27:54,75.2508,199.06,319.618,272.582,-45,45,1,1
TG_1-3,2019-04-10 23:52:34,1.23898e+09,70,65.3523,52.8426,2019-04-10 23:53:04,67.1585,312.129,232.558,267.294,-45,45,1,1
TG_2-1,2019-04-09 18:59:24,1.23887e+09,50,54.8577,60.2499,2019-04-09 19:00:14,60.4117,74.5686,117.044,117.044,0,-45,1,1
TG_2-1,2019-04-10 08:25:44,1.23892e+09,60,60.4436,61.0712,2019-04-10 08:26:24,66.8387,117.228,37.3987,62.5658,0,-45,1,1
TG_2-1,2019-04-10 19:24:54,1.23896e+09,70,75.4036,66.9041,2019-04-10 19:25:34,84.1713,354.504,208.587,231.422,0,-45,1,1
TG_2-1,2019-04-11 08:51:04,1.23901e+09,60,64.1587,60.2645,2019-04-11 08:51:44,69.0494,212.976,299.316,276.558,0,-45,1,1
TG_2-2,2019-04-12 07:51:24,1.23909e+09,50,56.1824,54.8313,2019-04-12 07:51:54,60.0413,107.573,42.124,66.8225,0,0,1,1
TG_2-3,2019-04-10 07:12:04,1.23892e+09,70,58.5288,55.8598,2019-04-10 07:12:44,70.3808,126.359,14.2208,54.2271,0,45,1,1
TG_2-3,2019-04-10 20:37:04,1.23896e+09,70,68.0742,67.623,2019-04-10 20:37:44,85.4507,24.8439,187.393,152.056,0,45,1,1
TG_2-3,2019-04-11 07:37:34,1.239e+09,50,55.5668,50.3465,2019-04-11 07:38:04,57.3218,235.59,295.751,275.105,0,45,1,1
TG_2-3,2019-04-11 21:03:04,1.23905e+09,40,53.7481,46.2767,2019-04-11 21:03:14,53.7481,277.898,249.425,269.418,0,45,1,1
